"";"X";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"7624";7624;"rt renatobacon tem gente que tem uma autoestima da porra mas ja viram a bio do felipe moura brasil blogdopim acho q supera os limite�";FALSE;0;NA;"2017-05-22 17:36:24";FALSE;NA;866709342862626816;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"janismas";26;TRUE;FALSE;NA;NA
"7625";7625;"rt limatonico aecio vc ja foi putado governador minas e senador do brasil mas agora vai morrer abracado com o perrella na politic�";FALSE;0;NA;"2017-05-22 17:36:24";FALSE;NA;866709342027907072;NA;"<a href=""http://www.viperit.com.br"" rel=""nofollow"">AutoPost Viper IT</a>";"LavaJatoNews";1;TRUE;FALSE;NA;NA
"7626";7626;"rt jornalextra mae e connada a pena maior que reus da lavajato por roubar ovos pascoa";FALSE;0;NA;"2017-05-22 17:36:23";FALSE;NA;866709337519140864;NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";"stanleyburburin";110;TRUE;FALSE;NA;NA
"7627";7627;"rt whyminsuga eu me amo voces se amam o namjoon lembrou do fanchart do brasil qnd ele mudou a letra eu to chorando muito alguem me�";FALSE;0;NA;"2017-05-22 17:36:22";FALSE;NA;866709334306238464;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"gabriellegamel";578;TRUE;FALSE;NA;NA
"7628";7628;"rt gerimachado a verda e que a culpa pela quebra do brasil e da mocracia e ste congresso nacional conservador direita e em su�";FALSE;0;NA;"2017-05-22 17:36:21";FALSE;NA;866709330007085056;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"mgayardi";1;TRUE;FALSE;NA;NA
"7629";7629;"rt josemeirosmt danouse lula diz que pt tem solucao p corrupcao maduro pe diretas ja no brasil e agora essa";FALSE;0;NA;"2017-05-22 17:36:21";FALSE;NA;866709328509710336;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"reminiscences";132;TRUE;FALSE;NA;NA
"7630";7630;"brasil forma sobre substancia";FALSE;1;NA;"2017-05-22 17:36:21";FALSE;NA;866709328144805888;NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"PPFLima";0;FALSE;FALSE;NA;NA
"7631";7631;"rt ximenmalhador u2705 lula o brasil inteiro exige sua prisao  u2705 lulanacaia lustforlife";FALSE;0;NA;"2017-05-22 17:36:21";FALSE;NA;866709327670804480;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"fofocasonline";5;TRUE;FALSE;NA;NA
"7632";7632;"pobre brasil edu00a0u00bdu00b8u00a2edu00a0u00bdu00b8u00b0";FALSE;0;NA;"2017-05-22 17:36:20";FALSE;NA;866709326580285440;NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"MayzaAiala";0;FALSE;FALSE;NA;NA
"7633";7633;"obrechts eikes e joesleys como surgem os bilionarios no brasil";FALSE;0;NA;"2017-05-22 17:36:20";FALSE;NA;866709326131593216;NA;"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>";"vanderloto";0;FALSE;FALSE;NA;NA
